species,condition,day,pH,class,mean.CFUs,mean.measured.pH,med.CFUs,med.measured.pH,mean.log.CFUs,med.log.CFUs,dayChar
JB5,JB7,3,7,bacteria,11020000,7.2139999999999995,9300000,7.1,7.042181594515767,6.968482948553935,3
JB5,JB7,10,5,bacteria,7510,6.11,7500,6.04,3.8756399370041685,3.8750612633917,10
JB5,JB7,10,7,bacteria,1102000000,7.798,1260000000,7.75,9.042181594515766,9.100370545117563,10
JB5,JB7,21,5,bacteria,388500,6,206000,5.91,5.589391023136933,5.313867220369153,21
JB5,JB7,21,7,bacteria,2146000000,8.12,1900000000,7.94,9.331629717629932,9.278753600952829,21
JB5,JBC,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,JBC,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,JBC,3,5,bacteria,820,6.148000000000001,920,6.15,2.9138138523837167,2.963787827345555,3
JB5,JBC,3,7,bacteria,12260000,7.082,7100000,7,7.088490470182396,6.8512583487190755,3
JB5,JBC,10,5,bacteria,40,6.7975,35,6.83,1.6020599913279623,1.5440680443502757,10
JB5,JBC,10,7,bacteria,162760,7.134,17000,7.04,5.211547681181248,4.230448921378274,10
JB5,JBC,21,5,bacteria,320,7.5325,0,7.609999999999999,2.505149978319906,-Inf,21
JB5,JBC,21,7,bacteria,68475000,7.7975,69450000,7.68,7.835532040925999,7.841672250073635,21
JB5,JB370,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,JB370,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,JB370,3,5,bacteria,462.5,5.9925,460,5.95,2.6651117370750512,2.662757831681574,3
JB5,JB370,3,7,bacteria,36900000,7.25,15800000,7.14,7.567026366159061,7.198657086954422,3
JB5,JB370,10,5,bacteria,18000000,7.276,21000000,7.28,7.2552725051033065,7.3222192947339195,10
JB5,JB370,10,7,bacteria,712200000,7.835999999999999,810000000,7.79,8.852601969338235,8.90848501887865,10
JB5,JB370,21,5,bacteria,102400000,7.24,88000000,7.18,8.010299956639813,7.944482672150168,21
JB5,JB370,21,7,bacteria,750000000,7.752,680000000,7.7,8.8750612633917,8.832508912706237,21
JB5,community,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,community,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,community,3,5,bacteria,688000,6.702,820000,6.66,5.837588438235511,5.913813852383717,3
JB5,community,3,7,bacteria,9660000,7.25,8000000,7.16,6.984977126415493,6.903089986991944,3
JB5,community,10,5,bacteria,6300000,6.544,5800000,6.55,6.799340549453582,6.763427993562937,10
JB5,community,10,7,bacteria,29300000,6.712,19000000,6.7,7.466867620354109,7.278753600952829,10
JB5,community,21,5,bacteria,2840000,7.508,2600000,7.31,6.453318340047038,6.414973347970818,21
JB5,community,21,7,bacteria,144600000,7.79,160000000,7.82,8.160168292958511,8.204119982655925,21
JB7,alone,0,5,bacteria,251.4,5.86,227,5.86,2.400365273349939,2.3560258571931225,0
JB7,alone,0,7,bacteria,251.4,7.1,227,7.1,2.400365273349939,2.3560258571931225,0
JB7,alone,3,5,bacteria,110,5.968,150,5.94,2.041392685158225,2.1760912590556813,3
JB7,alone,3,7,bacteria,26840000,7.206,15200000,7.16,7.428782511496954,7.181843587944773,3
JB7,alone,10,5,bacteria,167.5,6.1075,135,6.085,2.224014811372864,2.130333768495006,10
JB7,alone,10,7,bacteria,1450000000,7.6339999999999995,1360000000,7.56,9.161368002234974,9.133538908370218,10
JB7,alone,21,5,bacteria,134,6.046,120,6.03,2.1271047983648077,2.0791812460476247,21
JB7,alone,21,7,bacteria,1744000000,8.116,1780000000,7.98,9.241546480596549,9.250420002308894,21
JB7,135E,0,5,bacteria,251.4,5.86,227,5.86,2.400365273349939,2.3560258571931225,0
JB7,135E,0,7,bacteria,251.4,7.1,227,7.1,2.400365273349939,2.3560258571931225,0
JB7,135E,3,5,bacteria,270600,6.714,236000,6.69,5.432327792261604,5.372912002970106,3
JB7,135E,3,7,bacteria,15920000,7.21,7400000,7.12,7.20194306340165,6.869231719730976,3
JB7,135E,10,5,bacteria,1447500000,6.9575,1455000000,6.91,9.160618572399473,9.162862993321927,10
JB7,135E,10,7,bacteria,2670000000,7.715,2820000000,7.625,9.426511261364576,9.450249108319362,10
JB7,135E,21,5,bacteria,2550000000,7.698,2100000000,7.69,9.406540180433955,9.32221929473392,21
